all_day,calendar_category_id,category,description,end_date,event_id,location,start_date,state,summary,url
True,27,Pre and Post-Elections,West Virginia Pre-Primary Report due,,7787,West Virginia,2024-05-02,,WV Pre-Primary Report Due,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/prior-notices-2024/election-report-notice-west-virginia/
True,29,IE Periods,"24-Hour Report period of independent expenditures begins for the California 20th Congressional District special runoff election (if special runoff held). Ends on May 19, 2024.",,7870,California,2024-05-02,,24-Hour IE Report Period Begins,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/24-and-48-hour-reports-independent-expenditures-periods-special-elections-2024/
True,27,Pre and Post-Elections,North Carolina Pre-Runoff Report due (if runoff held),,7767,North Carolina,2024-05-02,,NC Pre-Runoff Report Due,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/prior-notices-2024/election-report-notice-north-carolina/
True,27,Pre and Post-Elections,Maryland Pre-Primary Report due,,7753,Maryland,2024-05-02,,MD Pre-Primary Report Due,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/prior-notices-2024/election-report-notice-maryland/
True,29,IE Periods,"24-Hour Report period of independent expenditures begins for the congressional primary elections in Georgia, Idaho, Kentucky and Oregon. Ends on May 19.",,7660,"GA, ID, KY, OR",2024-05-02,,24-Hour IE Report Period Begins,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/24-and-48-hour-reports-independent-expenditures-periods-congressional-primaries-2024/
False,32,Open Meetings,Public meeting of the Commission,,7495,FEC Hearing Room,2024-05-01T10:00:00-04:00,,Open Meeting,https://www.fec.gov/updates/may-01-2024-open-meeting/
True,27,Pre and Post-Elections,Connecticut Democratic Party (House) Pre-Convention Report due,,7975,Connecticut,2024-05-01,,CT Pre-Convention Report Due,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/prior-notices-2024/election-report-notice-connecticut-democratic-house/
True,29,IE Periods,24-Hour Report period of independent expenditures begins for the Connecticut (Republican Party (House)) congressional convention. Ends on May 18.,,7982,Connecticut,2024-05-01,,24-Hour IE Report Period Begins,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/24-and-48-hour-reports-independent-expenditures-periods-congressional-primaries-2024/
True,27,Pre and Post-Elections,Connecticut Republican Party (Senate) Pre-Convention Report due,,7978,Connecticut,2024-05-01,,CT Pre-Convention Report Due,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/prior-notices-2024/election-report-notice-connecticut-republican-senate/
True,39,Executive Sessions,Closed Commission meeting for consideration of enforcement matters and other items required to be kept confidential,,7994,,2024-05-01,,Executive Session,https://www.fec.gov/updates/april-30-2024-executive-session/
False,23,AOs and Rules,Draft AO 2024-04 (Draft A) Written public comments are due today by 12:00pm ET to the Commission Secretary (copy to Office of General Counsel) on Draft Advisory Opinion 2024-04 (Independence Blue Cross LLC PAC).,,7995,,2024-04-30T12:00:00-04:00,,Draft AO 2024-04 (Draft A),https://www.fec.gov/files/legal/aos/2024-04/202404.pdf
True,23,AOs and Rules,Draft AO 2024-05 (Draft A) Written public comments are due today by 12:00pm ET to the Commission Secretary (copy to Office of General Counsel) on Draft Advisory Opinion 2024-05 (Nevadans for Reproductive Freedom).,,7996,,2024-04-30,,Draft AO 2024-05 (Draft A),https://www.fec.gov/files/legal/aos/2024-05/202405.pdf
True,39,Executive Sessions,Closed Commission meeting for consideration of enforcement matters and other items required to be kept confidential,,7486,,2024-04-30,,Executive Session,https://www.fec.gov/updates/april-30-2024-executive-session/
True,36,Election Dates,Special general election for New York's 26th Congressional District,,7906,New York,2024-04-30,,NY/26 Special General Election,
True,27,Pre and Post-Elections,South Carolina Green Party Pre-Convention Report due,,7963,South Carolina,2024-04-29,,SC Pre-Convention Report Due,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/prior-notices-2024/election-report-notice-south-carolina-green/
True,27,Pre and Post-Elections,Connecticut Democratic Party (Senate) Pre-Convention Report due,,7976,Connecticut,2024-04-29,,CT Pre-Convention Report Due,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/prior-notices-2024/election-report-notice-connecticut-democratic-senate/
True,36,Election Dates,Democratic Party presidential primary election held in Puerto Rico,,7612,Puerto Rico,2024-04-28,,PR Primary - Democratic Party (P),
True,28,EC Periods,"Electioneering communications period begins for the Texas congressional primary runoff election (if runoff held). Ends on election day, May 28.",,7636,Texas,2024-04-28,,EC Period Starts,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/electioneering-communications-periods-congressional-primaries-2024/
True,36,Election Dates,Democratic Party congressional convention held in Utah,,7833,Utah,2024-04-27,,UT Convention - Democratic Party (C),
True,36,Election Dates,Republican Party congressional convention held in Utah,,7834,Utah,2024-04-27,,UT Convention - Republican Party (C),
True,36,Election Dates,Independent American Party congressional convention held in Utah,,7912,Utah,2024-04-27,,UT Convention - Independent American Party (C),
True,28,EC Periods,"60-day electioneering communications period begins for the Colorado 4th Congressional District special general election. Ends on election day, June 25, 2024.",,7988,Colorado,2024-04-26,,EC Period Starts,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/electioneering-communications-periods-special-elections-2024/
True,29,IE Periods,"24-Hour Report period of independent expenditures begins for the congressional primary elections in Maryland, Nebraska and West Virginia, and the congressional primary runoff election in North Carolina (if runoff held). Ends on May 12.",,7659,"MD, NE, NC, WV",2024-04-25,,24-Hour IE Report Period Begins,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/24-and-48-hour-reports-independent-expenditures-periods-congressional-primaries-2024/
True,29,IE Periods,"24-Hour Report period of independent expenditures begins for the presidential primary elections in Maryland, Nebraska and West Virginia. Ends on May 12.",,7720,"MD, NE, WV",2024-04-25,,24-Hour IE Report Period Begins,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/24-and-48-hour-reports-independent-expenditures-periods-presidential-primaries-2024/
True,27,Pre and Post-Elections,Indiana Pre-Primary Report due,,7743,Indiana,2024-04-25,,IN Pre-Primary Report Due,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/prior-notices-2024/election-report-notice-indiana/
True,29,IE Periods,24-Hour Report period of independent expenditures begins for the Connecticut (Democratic Party (House) and Republican Party (Senate)) congressional conventions. Ends on May 11.,,7981,Connecticut,2024-04-24,,24-Hour IE Report Period Begins,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/24-and-48-hour-reports-independent-expenditures-periods-congressional-primaries-2024/
True,36,Election Dates,Presidential and congressional primary elections held in Pennsylvania,,7585,Pennsylvania,2024-04-23,,PA Primary (P & C),
True,28,EC Periods,"Electioneering communications period begins for the Idaho (Democratic Party) presidential caucus. Ends on election day, May 23.",,7699,Idaho,2024-04-23,,EC Period Starts,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/electioneering-communications-periods-presidential-primaries-2024/
True,27,Pre and Post-Elections,South Carolina Libertarian Party Pre-Convention Report due,,7964,South Carolina,2024-04-22,,SC Pre-Convention Report Due,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/prior-notices-2024/election-report-notice-south-carolina-libertarian/
True,27,Pre and Post-Elections,South Carolina Forward Party Pre-Convention Report due,,7927,South Carolina,2024-04-22,,SC Pre-Convention Report Due,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/prior-notices-2024/election-report-notice-south-carolina-forward/
True,29,IE Periods,24-Hour Report period of independent expenditures begins for the congressional conventions in Connecticut (Democratic Party (Senate)) and South Carolina (Green Party). Ends on May 9.,,7970,"CT, SC",2024-04-22,,24-Hour IE Report Period Begins,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/electioneering-communications-periods-congressional-primaries-2024/
True,36,Election Dates,Republican Party presidential primary election held in Puerto Rico,,7928,Puerto Rico,2024-04-21,,PR Primary - Republican Party (P),
True,28,EC Periods,"Electioneering communications period begins for the presidential primary elections in Kentucky and Oregon. Ends on election day, May 21.",,7698,"KY, OR",2024-04-21,,EC Period Starts,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/electioneering-communications-periods-presidential-primaries-2024/
True,28,EC Periods,"Electioneering communications period begins for the congressional primary elections in Georgia, Idaho, Kentucky, and Oregon. Ends on election day, May 21.",,7635,"GA, ID, KY, OR",2024-04-21,,EC Period Starts,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/electioneering-communications-periods-congressional-primaries-2024/
True,28,EC Periods,"Electioneering communications period begins for the Connecticut (Republican Party (House)) congressional convention. Ends on election day, May 20.",,7980,Connecticut,2024-04-20,,EC Period Starts,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/electioneering-communications-periods-congressional-primaries-2024/
True,36,Election Dates,Republican Party presidential convention held in Wyoming,,7933,Wyoming,2024-04-20,,WY Convention - Republican Party (P),
True,36,Election Dates,United Utah Party congressional convention held in Utah,,7835,Utah,2024-04-20,,UT Convention - United Utah Party (C),
True,36,Election Dates,Aliance Party congressional convention held in South Carolina,,7955,South Carolina,2024-04-20,,SC Convention - Alliance Party (C),
True,26,Monthly,April Monthly Report due,,7438,FEC,2024-04-20,,April Monthly Report Due,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/2024-monthly-filers/#monthly-schedule
True,36,Election Dates,Libertarian Party congressional convention held in Kansas,,7812,Kansas,2024-04-20,,KS Convention - Libertarian Party (C),
True,36,Election Dates,Libertarian Party congressional convention held in Utah,,7911,Utah,2024-04-20,,UT Convention - Libertarian Party (C),
False,32,Open Meetings,Public meeting of the Commission,,7494,FEC Hearing Room,2024-04-18T10:00:00-04:00,,Open Meeting,https://www.fec.gov/updates/april-18-2024-open-meeting/
True,27,Pre and Post-Elections,New York's 26th Congressional District Special Pre-General Report due,,7904,New York,2024-04-18,,NY/26 Special Pre-General Report Due,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/special-election-report-notice-ny26/
True,39,Executive Sessions,Closed Commission meeting for consideration of enforcement matters and other items required to be kept confidential,,7990,,2024-04-18,,Executive Session,https://www.fec.gov/updates/april-16-2024-executive-session/
True,29,IE Periods,24-Hour Report period of independent expenditures begins for the Indiana presidential primary election. Ends on May 5.,,7719,Indiana,2024-04-18,,24-Hour IE Report Period Begins,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/24-and-48-hour-reports-independent-expenditures-periods-presidential-primaries-2024/
True,29,IE Periods,24-Hour Report period of independent expenditures begins for the Indiana congressional primary election. Ends on May 5.,,7658,Indiana,2024-04-18,,24-Hour IE Report Period Begins,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/24-and-48-hour-reports-independent-expenditures-periods-congressional-primaries-2024/
True,27,Pre and Post-Elections,California's 20th Congressional District Special Post-General Report due (if only special general is held),,7872,California,2024-04-18,,CA/20 Special Post-General Report Due,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/special-election-report-notice-ca20/
False,34,Roundtables,The FEC will host a two-part Committee Operations workshop for corporate political action committees (PACs),2024-04-17T16:15:00-04:00,7881,Online via Zoom,2024-04-17T13:00:00-04:00,,Corporate PAC Webinar - Day 2,https://www.fec.gov/updates/fec-to-host-april-16-17-corporate-pac-webinar-2024/
False,23,AOs and Rules,"Draft AO 2024-03 (Draft B) Written public comments are due today by 12:00pm ET to the Commission Secretary (copy to Office of General Counsel) on Draft Advisory Opinion 2024-03 (PoliticalMeetings.com, LLC).",,7993,,2024-04-17T12:00:00-04:00,,Draft AO 2024-03 (Draft B),https://www.fec.gov/files/legal/aos/2024-03/202403_2.pdf
False,23,AOs and Rules,"Draft AO 2024-03 (Revised Draft A) Written public comments are due today by 12:00pm ET to the Commission Secretary (copy to Office of General Counsel) on Draft Advisory Opinion 2024-03 (PoliticalMeetings.com, LLC).",,7992,,2024-04-17T12:00:00-04:00,,Draft AO 2024-03 (Revised Draft A),https://www.fec.gov/files/legal/aos/2024-03/202403_1.pdf
False,34,Roundtables,The FEC will host a Basics for Beginners workshop for corporate political action committees (PACs),2024-04-16T15:00:00-04:00,7886,Online via Zoom,2024-04-16T13:00:00-04:00,,Corporate PAC Webinar - Day 1,https://www.fec.gov/updates/fec-to-host-april-16-17-corporate-pac-webinar-2024/
True,36,Election Dates,Congressional primary runoff election held in Alabama (if necessary),,7526,Alabama,2024-04-16,,AL Primary Runoff (C),
True,39,Executive Sessions,Closed Commission meeting for consideration of enforcement matters and other items required to be kept confidential,,7485,,2024-04-16,,Executive Session,https://www.fec.gov/updates/april-16-2024-executive-session/
True,27,Pre and Post-Elections,Utah Democratic Party Pre-Convention Report due,,7845,Utah,2024-04-15,,UT Pre-Convention Report Due,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/prior-notices-2024/election-report-notice-utah-democratic/
True,27,Pre and Post-Elections,Utah Independent American Party Pre-Convention Report due,,7924,Utah,2024-04-15,,UT Pre-Convention Report Due,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/prior-notices-2024/election-report-notice-utah-independent-american/
True,25,Quarterly,April Quarterly Report due,,7449,FEC,2024-04-15,,April Quarterly Report Due,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/2024-quarterly-filers/#quarterly-schedule
True,27,Pre and Post-Elections,Utah Republican Party Pre-Convention Report due,,7846,Utah,2024-04-15,,UT Pre-Convention Report Due,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/prior-notices-2024/election-report-notice-utah-republican/
True,29,IE Periods,24-Hour Report period of independent expenditures begins for the South Carolina (Forward Party and Libertarian Party) congressional conventions. Ends on May 2.,,7922,South Carolina,2024-04-15,,24-Hour IE Report Period Begins,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/24-and-48-hour-reports-independent-expenditures-periods-congressional-primaries-2024/
True,28,EC Periods,"Electioneering communications period begins for the congressional primary elections in Maryland, Nebraska and West Virginia, and the congressional primary runoff election (if runoff held) in North Carolina. Ends on election day, May 14.",,7634,"MD, NE, NC, WV",2024-04-14,,EC Period Starts,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/electioneering-communications-periods-congressional-primaries-2024/
True,36,Election Dates,Libertarian Party senate convention held in Texas,,7913,Texas,2024-04-14,,TX Convention - Libertarian Party (S),
True,28,EC Periods,"Electioneering communications period begins for the presidential primary elections in Maryland, Nebraska and West Virginia. Ends on election day, May 14.",,7697,"MD, NE, WV",2024-04-14,,EC Period Starts,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/electioneering-communications-periods-presidential-primaries-2024/
True,36,Election Dates,Constitution Party congressional convention held in Utah,,7832,Utah,2024-04-13,,UT Convention - Constitution Party (C),
True,28,EC Periods,"Electioneering communications period begins for the Connecticut (Democratic Party (House) and Republican Party (Senate)) congressional conventions. Ends on election day, May 13.",,7979,Connecticut,2024-04-13,,EC Period Starts,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/electioneering-communications-periods-congressional-primaries-2024/
True,36,Election Dates,Democratic Party presidential primary election held in Alaska,,7623,Alaska,2024-04-13,,AK Primary - Democratic Party (P),
True,36,Election Dates,Democratic Party presidential caucus held in Wyoming,,7626,Wyoming,2024-04-13,,WY Caucus - Democratic Party (P),
True,36,Election Dates,Constitution Party congressional convention held in South Carolina,,7956,South Carolina,2024-04-13,,SC Convention - Constitution Party (C),
True,28,EC Periods,"60-day electioneering communications period begins for the Ohio 6th Congressional District special general election. Ends on election day, June 11, 2024.",,7861,Ohio,2024-04-12,,EC Period Starts,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/electioneering-communications-periods-special-elections-2024/
True,28,EC Periods,"Electioneering communications period begins for the congressional conventions in Connecticut (Democratic Party (Senate)) and South Carolina (Green Party). Ends on election day, May 11.",,7967,"CT, SC",2024-04-11,,EC Period Starts,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/electioneering-communications-periods-congressional-primaries-2024/
True,27,Pre and Post-Elections,Pennsylvania Pre-Primary Report due,,7984,Pennsylvania,2024-04-11,,PA Pre-Primary Report Due,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/prior-notices-2024/election-report-notice-pennsylvania/
True,29,IE Periods,"24-Hour Report period of independent expenditures begins for the New York 26th Congressional District special general election. Ends on April 28, 2024.",,7903,New York,2024-04-11,,24-Hour IE Report Period Begins,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/24-and-48-hour-reports-independent-expenditures-periods-special-elections-2024/
True,29,IE Periods,24-Hour Report period of independent expenditures begins for the Puerto Rico (Democratic Party) presidential primary election. Ends on April 26.,,7712,Puerto Rico,2024-04-09,,24-Hour IE Report Period Begins,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/24-and-48-hour-reports-independent-expenditures-periods-presidential-primaries-2024/
True,27,Pre and Post-Elections,Utah United Utah Party Pre-Convention Report due,,7847,Utah,2024-04-08,,UT Pre-Convention Report Due,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/prior-notices-2024/election-report-notice-united-utah/
True,27,Pre and Post-Elections,Utah Libertarian Party Pre-Convention Report due,,7923,Utah,2024-04-08,,UT Pre-Convention Report Due,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/prior-notices-2024/election-report-notice-utah-libertarian/
True,27,Pre and Post-Elections,South Carolina Alliance Party Pre-Convention Report due,,7961,South Carolina,2024-04-08,,SC Pre-Convention Report Due,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/prior-notices-2024/election-report-notice-south-carolina-alliance/
True,27,Pre and Post-Elections,Kansas Libertarian Party Pre-Convention Report due,,7811,Kansas,2024-04-08,,KS Pre-Convention Report Due,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/prior-notices-2024/election-report-notice-kansas-libertarian/
True,29,IE Periods,"24-Hour Report period of independent expenditures begins for the Utah (Democratic Party, Independent American Party, Republican Party) congressional conventions. Ends on April 25.",,7838,Utah,2024-04-08,,24-Hour IE Report Period Begins,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/24-and-48-hour-reports-independent-expenditures-periods-congressional-primaries-2024
True,28,EC Periods,"Electioneering communications period begins for the Indiana congressional primary election. Ends on election day, May 7.",,7633,Indiana,2024-04-07,,EC Period Starts,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/electioneering-communications-periods-congressional-primaries-2024/
True,28,EC Periods,"Electioneering communications period begins for the Indiana presidential primary election. Ends on election day, May 7.",,7696,Indiana,2024-04-07,,EC Period Starts,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/electioneering-communications-periods-presidential-primaries-2024/
False,34,Roundtables,The FEC will host two webinars -- Basic FECFile and Advanced FECFile -- to assist candidate committees as they prepare to file their April Quarterly Reports.,2024-04-04T16:30:00-04:00,7893,Online via Zoom,2024-04-04T12:00:00-04:00,,April Quarterly FECFile Webinars for Candidate Committees,https://www.fec.gov/updates/fec-to-offer-expanded-fecfile-webinars-in-april-2024/
True,29,IE Periods,24-Hour Report period of independent expenditures begins for the Pennsylvania presidential primary election. Ends on April 21.,,7718,Pennsylvania,2024-04-04,,24-Hour IE Report Period Begins,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/24-and-48-hour-reports-independent-expenditures-periods-presidential-primaries-2024/
True,28,EC Periods,"Electioneering communications period begins for the South Carolina (Forward Party and Libertarian Party) congressional conventions. Ends on election day, May 4.",,7916,South Carolina,2024-04-04,,EC Period Starts,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/electioneering-communications-periods-congressional-primaries-2024/
True,27,Pre and Post-Elections,Alabama Pre-Runoff Report due (if runoff held),,7726,Alabama,2024-04-04,,AL Pre-Runoff Report Due,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/prior-notices-2024/election-report-notice-alabama/
True,29,IE Periods,24-Hour Report period of independent expenditures begins for the Pennsylvania congressional primary election. Ends on April 21.,,7849,Pennsylvania,2024-04-04,,24-Hour IE Report Period Begins,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/24-and-48-hour-reports-independent-expenditures-periods-congressional-primaries-2024
False,34,Roundtables,The FEC will host two webinars -- Basic FECFile and Advanced FECFile -- to assist political action committees (PACs) and party committees as they prepare to file their April Quarterly or Monthly Reports.,2024-04-03T16:30:00-04:00,7892,Online via Zoom,2024-04-03T12:00:00-04:00,,April FECFile Webinars for PACs and Party Committees,https://www.fec.gov/updates/fec-to-offer-expanded-fecfile-webinars-in-april-2024/
